No,Filename,Product Name,SKU,Category,Current Size (KB),Status
1,16-inch-25w-flush-mount-ceiling-light-3cct-selectable-3500k-4000k-5000k-cl-20w-120v-xxk.webp,16 inch 25W Flush Mount Ceiling Light 3CCT Selectable 3500K/4000K/5000K,CL-25W-120V-XXK,LED Ceiling Light,18.8,Too Small
2,2x4-led-backlit-panel-light-selectable-wattage-30w-40w-50w-60w-72w-selectable-cct-3000k-3500k-4000k-5000k-6500k-copy.webp,2x4 LED Backlit Panel Light-Selectable Wattage 30W/40W/50W/60W/72W- Selectable CCT,LS-PL24-M72W-CCT-EM,LED Panel Light,7.4,Too Small
3,2x4-led-backlit-panel-light-selectable-wattage-30w-40w-50w-60w-72w-selectable-cct-3000k-3500k-4000k-5000k-6500k-copy-2.webp,2x4 LED Backlit Panel Light-Selectable Wattage 30W/40W/50W/60W/72W- Selectable CCT (variant),LS-PL24-M72W-CCT-EM,LED Panel Light,7.4,Too Small
4,4ft-led-linear-high-bay-light-360w-380w-400w-selectable-cct-5000k-lhb-360w-380w-400w-50k.webp,4FT LED Linear High Bay Light-360W/380W/400W Selectable-CCT 5000K,LHB-360W/380W/400W-50K,Linear Highbays,7.1,Too Small
5,8ft-led-linear-strip-light-wattage-cct-selectable-64w-75-90w-cct-3500k-4000k-5000k-ls-8ft40-50-64w-xxk.webp,8ft LED Linear Strip Light Wattage & CCT Selectable- 90W/75W/64W-CCT 3500K/4000K/5000K,LS-8FT64/75/90W-XXK,LED Linear Strip Lights,8.9,Too Small
6,4ft-vapor-tight-led-light-selectable-wattage-cct.webp,4FT LED Vapor Tight Light Selectable Wattage & CCT AC 120~277V,LS-VT40/50/60W-XXK,LED Vapor Tight Lights,9.2,Too Small
7,6-inch-15w-disk-light-120v-triac-dimming-5cct-selectable-dk6-15w-5cct.webp,6 Inch 15W Disk Light 120V Triac Dimming 5CCT Selectable,DK6-15W-5CCT,LED Downlights,7.9,Too Small
8,15-foot-steel-3-inch-round-light-pole-black-housing-copy.webp,10 Foot Steel 3 Inch Round Light Pole Black Housing,,Poles & Brackets,6.7,Too Small
9,20-foot-steel-4-inch-round-light-pole-black-housing.webp,20 Foot Steel 4.5 Inch Round Light Pole Black Housing,,Poles & Brackets,6.8,Too Small
10,180-low-profile-bullhorn-with-3-2-3-8in-o-d-tenon-bh3hl.webp,180° Low Profile Bullhorn with (3) 2-3/8in O.D. Tenon For 3 Fixtures,BH3HL,Poles & Brackets,8.9,Too Small
11,180-low-profile-bullhorn-with-3-2-3-8in-o-d-tenon-bh3hl-2.webp,180° Low Profile Bullhorn with (3) 2-3/8in O.D. Tenon For 3 Fixtures (variant),BH3HL,Tenon Adapters,8.9,Too Small
